Date,Actual_Return,Pred_Mean,Pred_Vol,Prob_Up,Signal_Base,Signal_Dynamic,Signal_Strong,Signal_Combo,Prob_Gradient,Signal_Momentum,Position_Size_Kelly,Position_Size_Conf,Actual_Dir,Strategy_Return_Base,Cum_Strategy_Base,Strategy_Return_Dynamic,Cum_Strategy_Dynamic,Strategy_Return_Strong,Cum_Strategy_Strong,Strategy_Return_Combo,Cum_Strategy_Combo,Strategy_Return_Momentum,Cum_Strategy_Momentum,Strategy_Return_Kelly,Cum_Strategy_Kelly,Strategy_Return_Confidence,Cum_Strategy_Confidence,Cum_Market,Prob_Centered,Signal_Final,Strategy_Return,Cum_Strategy
2024-08-25,0.0024052261605437084,0.007921957165173073,0.03819417701402625,0.5821562152721452,1,1,1,1,-0.047137150385876625,0,0.08215621527214523,0.16431243054429046,1,0.0024052261605437084,1.231895635658816,0.0024052261605437084,1.3006824369733951,0.0024052261605437084,1.471983739124203,0.0024052261605437084,2.0452272432292165,0.0,1.2354219882219992,0.00031097978546541766,1.042797662245568,0.0006219595709308353,1.0858035906340613,2.1998796471156914,0.5758004053200084,1,0.0024052261605437084,1.8359106948873833
2024-08-26,-0.022842512079134417,0.004428331671004864,0.038194177050389036,0.5461509778823512,1,1,1,1,-0.036005237389794,0,0.04615097788235123,0.09230195576470246,0,-0.022842512079134417,1.2037560447210465,-0.022842512079134417,1.2709715826957124,-0.022842512079134417,1.4383599327829688,-0.022842512079134417,1.9985091152211782,-0.0,1.2354219882219992,-0.0018766543397299449,1.0408406914872546,-0.0037533086794598897,1.0817282345931458,2.1496288697038093,0.5397951679302144,1,-0.022842512079134417,1.7939738826632061
2024-08-27,-0.05519287756090793,-0.002656643673228612,0.038194177085089695,0.47227343058948335,0,0,0,1,-0.07387754729286788,0,0.0,0.0,0,-0.05519287756090793,1.137317284731555,-0.05519287756090793,1.2008230037485945,-0.05519287756090793,1.3589727091243626,-0.05519287756090793,1.8882056463204173,-0.0,1.2354219882219992,-0.0025472052715767813,1.0381894565910266,-0.005094410543153563,1.0762174668700077,2.030984666696854,0.46591762063734654,1,-0.05519287756090793,1.6949593018099092
2024-08-28,-0.00804021450926693,-0.005269175580020007,0.03819417711820419,0.44513697846033495,0,0,0,1,-0.027136452129148392,0,0.0,0.0,0,-0.0,1.137317284731555,-0.0,1.2008230037485945,-0.0,1.3589727091243626,-0.00804021450926693,1.873024067886392,-0.0,1.2354219882219992,0.0,1.0381894565910266,0.0,1.0762174668700077,2.014655114311579,0.43878116850819815,1,-0.00804021450926693,1.6813314654388802
2024-08-29,0.006089656742738993,-0.005569511373056843,0.03819417714980504,0.44203136666229037,0,0,0,1,-0.003105611798044583,0,0.0,0.0,1,0.0,1.137317284731555,0.0,1.2008230037485945,0.0,1.3589727091243626,0.006089656742738993,1.884430141530709,0.0,1.2354219882219992,-0.0,1.0381894565910266,-0.0,1.0762174668700077,2.0269236724127406,0.43567555671015357,1,0.006089656742738993,1.6915701969341694
2024-08-30,-0.004534788620027655,-0.004364619156327409,0.03819417717996143,0.45451011200182456,0,0,0,1,0.012478745339534192,0,0.0,0.0,0,-0.0,1.137317284731555,-0.0,1.2008230037485945,-0.0,1.3589727091243626,-0.004534788620027655,1.8758846491696584,-0.0,1.2354219882219992,0.0,1.0381894565910266,0.0,1.0762174668700077,2.0177320020094185,0.44815430204968776,1,-0.004534788620027655,1.6838992836551345
2024-08-31,-0.0025333050495830443,-0.004003342355030447,0.038194177208739376,0.4582610993285505,0,0,0,1,0.003750987326725963,0,0.0,0.0,0,-0.0,1.137317284731555,-0.0,1.2008230037485945,-0.0,1.3589727091243626,-0.0025333050495830443,1.8711324611154816,-0.0,1.2354219882219992,0.0,1.0381894565910266,0.0,1.0762174668700077,2.0126204713400226,0.4519052893764137,1,-0.0025333050495830443,1.6796334530968617
2024-09-01,-0.028281771257721453,-0.008551712143442237,0.038194177236201894,0.4114171925726239,0,0,0,1,-0.046843906755926645,0,0.0,0.0,0,-0.0,1.137317284731555,-0.0,1.2008230037485945,-0.0,1.3589727091243626,-0.028281771257721453,1.8182135208573162,-0.0,1.2354219882219992,0.0,1.0381894565910266,0.0,1.0762174668700077,1.9556999995409765,0.4050613826204871,1,-0.028281771257721453,1.6321304439795594
2024-09-02,0.030696731082648924,-0.0031465629323634966,0.038194177262409104,0.46717095186680047,0,0,0,1,0.055753759294176586,0,0.0,0.0,1,0.0,1.137317284731555,0.0,1.2008230037485945,0.0,1.3589727091243626,0.030696731082648924,1.8740267323579096,0.0,1.2354219882219992,-0.0,1.0381894565910266,-0.0,1.0762174668700077,2.0157335965052225,0.46081514191466366,1,0.030696731082648924,1.6822315133102044
2024-09-03,-0.028857442236703133,-0.007431772832987625,0.0381941772874184,0.4228613950782373,0,0,0,1,-0.04430955678856319,0,0.0,0.0,0,-0.0,1.137317284731555,-0.0,1.2008230037485945,-0.0,1.3589727091243626,-0.028857442236703133,1.8199471141788537,-0.0,1.2354219882219992,0.0,1.0381894565910266,0.0,1.0762174668700077,1.957564680679491,0.4165055851261005,1,-0.028857442236703133,1.6336866145860933
